time,close,T10Y2Y,HY_Spread,Copper_Gold_Log,WEI,Sahm_Rule,UM_Sentiment
1994-05-23,733.1,1.17,,-5.922419688409873,,-0.07,92.6
1994-05-30,742.4,1.14,,-5.918027841061883,,-0.17,92.8
1994-06-06,734.3,1.18,,-5.866392891277227,,-0.17,92.8
1994-06-13,729.4,1.24,,-5.848075877650732,,-0.17,92.8
1994-06-20,693.8,1.16,,-5.862461079058828,,-0.17,92.8
1994-06-27,706.8,1.15,,-5.855552583952747,,-0.17,91.2
1994-07-04,707.5,1.19,,-5.861379751945058,,-0.17,91.2
1994-07-11,721.4,1.2,,-5.83909006668198,,-0.17,91.2
1994-07-18,716.7,1.16,,-5.818712441330178,,-0.17,91.2
1994-07-25,722.2,1.08,,-5.856136208806758,,-0.17,91.2
1994-08-01,718.7,1.14,,-5.881518062706183,,-0.1,89
1994-08-08,731.6,1.1,,-5.86299179943972,,-0.1,89
1994-08-15,742.4,1.05,,-5.8775083586890124,,-0.1,89
1994-08-22,762.9,1.05,,-5.849463964890366,,-0.1,89
1994-08-29,759.2,1.04,,-5.834325417955773,,0.03,91.7
1994-09-05,763.7,1.08,,-5.842452290021449,,0.03,91.7
1994-09-12,777.9,1.07,,-5.816196943839801,,0.03,91.7
1994-09-19,757.5,1.06,,-5.818613789847739,,0.03,91.7
1994-09-26,764.3,1.04,,-5.867219093417769,,0.03,91.7
1994-10-03,750,1.07,,-5.839129342889203,,0,91.5
1994-10-10,767.1,1.01,,-5.833365627889874,,0,91.5
1994-10-17,765.4,1.03,,-5.816724269438215,,0,91.5
1994-10-24,776.2,0.99,,-5.752141808055081,,0,91.5
1994-10-31,766.1,0.99,,-5.715811908419248,,-0.1,92.7
1994-11-07,762.1,0.92,,-5.736326022388672,,-0.1,92.7
1994-11-14,764.7,0.78,,-5.655178097760875,,-0.1,92.7
1994-11-21,742.5,0.61,,-5.68741085536683,,-0.1,92.7
1994-11-28,745,0.37,,-5.644866591119606,,-0.17,91.6
1994-12-05,719,0.26,,-5.656234009139338,,-0.17,91.6
1994-12-12,729.1,0.22,,-5.636680657995549,,-0.17,91.6
1994-12-19,742.2,0.11,,-5.649811627648565,,-0.17,91.6
1994-12-26,752,0.15,,-5.625261776328426,,-0.17,91.6
1995-01-02,749.7,0.23,,-5.609743191493755,,-0.13,95.1
1995-01-09,762.2,0.3,,-5.616606334019649,,-0.13,95.1
1995-01-16,762,0.32,,-5.607859188505885,,-0.13,95.1
1995-01-23,758.9,0.37,,-5.60818281735673,,-0.13,95.1
1995-01-30,772.1,0.35,,-5.665074645828281,,0,97.6
1995-02-06,790.4,0.29,,-5.640301595076766,,0,97.6
1995-02-13,787,0.36,,-5.653941890222117,,0,97.6
1995-02-20,791.1,0.44,,-5.6521256820904,,0,97.6
1995-02-27,798.8,0.47,,-5.6510674809334525,,-0.07,95.1
1995-03-06,802.2,0.4,,-5.657120090000567,,-0.07,95.1
1995-03-13,808.3,0.43,,-5.656629702933573,,-0.07,95.1
1995-03-20,818.7,0.45,,-5.61866732865945,,-0.07,95.1
1995-03-27,817.2,0.4,,-5.664493483141769,,0.03,90.3
1995-04-03,814.7,0.43,,-5.662930154591221,,0.03,90.3
1995-04-10,832.6,0.52,,-5.668480273359544,,0.03,90.3
1995-04-17,823.4,0.59,,-5.698069261629737,,0.03,90.3
1995-04-24,844,0.49,,-5.7224891776003854,,0.03,90.3
1995-05-01,843.5,0.5,,-5.768524890177188,,0.07,92.5
1995-05-08,858.9,0.48,,-5.728680026277928,,0.07,92.5
1995-05-15,864.6,0.43,,-5.72435282022183,,0.07,92.5
1995-05-22,871.9,0.4,,-5.686600361992668,,0.07,92.5
1995-05-29,873,0.49,,-5.666875109051512,,0.17,89.8
1995-06-05,884.4,0.4,,-5.671083384333242,,0.17,89.8
1995-06-12,908.7,0.45,,-5.637645727924086,,0.17,89.8
1995-06-19,938.9,0.43,,-5.61874959019057,,0.17,89.8
1995-06-26,933.5,0.39,,-5.642182004994578,,0.17,89.8
1995-07-03,969.8,0.49,,-5.644299379412892,,0.2,92.7
1995-07-10,999.3,0.48,,-5.624371778379907,,0.2,92.7
1995-07-17,961.8,0.52,,-5.682034144013087,,0.2,92.7
1995-07-24,1005.3,0.52,,-5.668328057889628,,0.2,92.7
1995-07-31,991.1,0.59,,-5.6346868599245274,,0.17,94.4
1995-08-07,1004.1,0.56,,-5.650635005117813,,0.17,94.4
1995-08-14,1031.3,0.45,,-5.614881373676446,,0.17,94.4
