time,close,T10Y2Y,HY_Spread,Copper_Gold_Log,WEI,Sahm_Rule,UM_Sentiment
1991-06-03,475.9,1.32,,-5.912004129514534,,1.43,78.3
1991-07-01,502,1.37,,-5.902746608425154,,1.5,82.1
1991-08-01,525.7,1.49,,-5.835170677152055,,1.53,82.9
1991-09-02,526.9,1.47,,-5.831692179130513,,1.4,82
1991-10-01,543,1.77,,-5.820800851417449,,1.1,78.3
1991-11-01,523.9,2,,-5.906521237213384,,1.1,78.3
1991-12-02,586.3,1.94,,-5.893819506270389,,1,68.2
1992-01-01,620.2,2.2,,-5.897142722533063,,0.93,67.5
1992-02-03,633.5,2,,-5.838080692058487,,0.93,67.5
1992-03-02,603.8,1.94,,-5.82862728912146,,0.77,76
1992-04-01,578.7,2.21,,-5.818260088447392,,0.77,76
1992-05-01,585.3,2.14,,-5.813288687693734,,0.67,77.2
1992-06-01,563.6,2.29,,-5.749224591260482,,0.63,79.2
1992-07-01,580.8,2.36,,-5.772202342501744,,0.73,80.4
1992-08-03,563.1,2.47,,-5.741405854321718,,0.87,76.6
1992-09-01,583.3,2.57,,-5.8098110248858,,0.9,76.1
1992-10-01,605.2,2.4,,-5.815336786844158,,0.8,75.6
1992-11-02,652.7,2.16,,-5.825672292265238,,0.5,85.3
1992-12-01,677,2.14,,-5.7730756013623425,,0.37,91
1993-01-01,696.3,2.19,,-5.811767133927264,,0.37,91
1993-02-01,670.8,2.11,,-5.837704619483676,,0.2,89.3
1993-03-01,690.1,2.07,,-5.865625500106615,,-0.1,85.9
1993-04-01,661.4,2.2,,-6.046714500627307,,-0.1,85.9
1993-05-03,700.5,1.92,,-6.165980726261284,,-0.03,85.6
1993-06-01,704,1.76,,-6.083089542431124,,-0.03,80.3
1993-07-01,704.7,1.69,,-6.143752953614555,,0,81.5
1993-08-02,742.8,1.58,,-6.079613842314507,,-0.07,77
1993-09-01,762.8,1.51,,-6.16703215006532,,-0.07,77.3
1993-10-01,779.3,1.44,,-6.225079398289487,,-0.1,77.9
1993-11-01,754.4,1.61,,-6.206307073382805,,-0.1,81.2
1993-12-01,776.8,1.58,,-6.15372834202088,,-0.1,88.2
1994-01-03,800.5,1.58,,-6.09116390733107,,0,94.3
1994-02-01,792.5,1.48,,-6.090021823093067,,0,93.2
1994-03-01,743.5,1.56,,-6.119251808044704,,0.03,91.5
1994-04-01,733.8,1.29,,-6.0231961687740245,,0.03,91.5
1994-05-02,735.2,1.15,,-5.929332766000976,,-0.07,92.6
1994-06-01,706,1.12,,-5.879926405626199,,-0.17,92.8
1994-07-01,722.2,1.08,,-5.856136208806758,,-0.17,91.2
1994-08-01,765.6,1.02,,-5.821933413190376,,-0.1,89
1994-09-01,764.3,1.04,,-5.867219093417769,,0.03,91.7
1994-10-03,777.5,0.97,,-5.74922672277568,,-0.1,92.7
1994-11-01,750.3,0.51,,-5.672419904195381,,-0.17,91.6
1994-12-01,752,0.15,,-5.625261776328426,,-0.17,91.6
1995-01-02,755.2,0.34,,-5.624412077004016,,0,97.6
1995-02-01,793.7,0.43,,-5.684539783915176,,-0.07,95.1
1995-03-01,817.2,0.4,,-5.664493483141769,,0.03,90.3
1995-04-03,844,0.49,,-5.7224891776003854,,0.03,90.3
1995-05-01,864.6,0.41,,-5.689946742803551,,0.07,92.5
1995-06-01,933.5,0.39,,-5.642182004994578,,0.17,89.8
1995-07-03,1001.2,0.57,,-5.659711387228519,,0.2,92.7
1995-08-01,1020.1,0.45,,-5.680913384745225,,0.17,94.4
1995-09-01,1043.5,0.36,,-5.682155168073249,,0.13,96.2
1995-10-02,1036.1,0.42,,-5.730281948927262,,0.07,90.2
1995-11-01,1059.2,0.4,,-5.750670177907841,,0.07,88.2
1995-12-01,1052.1,0.4,,-5.774368619735772,,0.07,88.2
1996-01-01,1059.8,0.67,,-5.874470616402683,,0.17,89.3
1996-02-01,1100.1,0.69,,-5.852092814800859,,0.13,88.5
1996-03-01,1101.4,0.55,,-5.834735438692779,,0.13,88.5
1996-04-01,1190.52,0.61,,-5.799868050300798,,0.1,93.7
1996-05-01,1243.43,0.6,,-5.837603680353322,,-0.03,92.7
1996-06-03,1185.02,0.62,,-6.045298858164092,,0.03,89.4
1996-07-01,1080.59,0.59,,-6.04448649672436,,-0.07,92.4
1996-08-01,1141.5,0.63,,-6.018139701197648,,0,94.7
1996-09-02,1226.92,0.61,,-6.04573619867554,,-0.17,95.3
1996-10-01,1221.51,0.6,,-6.028819420909458,,-0.07,96.5
1996-11-01,1292.61,0.47,,-5.82354467937245,,-0.07,96.5
1996-12-02,1291.03,0.55,3.13,-5.90884162243011,,0.07,96.9
1997-01-01,1379.85,0.59,3.04,-5.809624801935008,,0.13,97.4
1997-02-03,1309,0.47,2.73,-5.796712580293361,,0.13,99.7
1997-03-03,1221.7,0.47,2.84,-5.747079280409525,,0.1,100
1997-04-01,1260.76,0.43,2.91,-5.724960607902239,,0.1,100
1997-05-01,1400.32,0.45,2.61,-5.6759713746316836,,-0.07,101.4
1997-06-02,1442.07,0.43,2.63,-5.700358578494057,,-0.17,103.2
1997-07-01,1593.81,0.29,2.73,-5.7095813616523445,,-0.07,104.5
1997-08-01,1587.32,0.36,2.57,-5.798207279873999,,-0.03,107.1
1997-09-01,1685.69,0.3,2.55,-5.850245357897216,,0.03,104.4
1997-10-01,1593.61,0.21,2.99,-5.840385362119865,,-0.03,105.6
1997-11-03,1600.55,0.1,2.84,-5.867153707903181,,-0.03,105.6
1997-12-01,1570.35,0.09,2.96,-5.916716165070061,,-0.07,102.1
1998-01-01,1619.36,0.21,2.98,-5.950931497808351,,-0.07,102.1
1998-02-02,1770.51,0.07,2.88,-5.964831376668288,,-0.03,106.6
1998-03-02,1835.68,0.07,2.83,-5.939742726021605,,0,106.5
1998-04-01,1868.41,0.1,2.79,-5.907706263423116,,0,106.5
1998-05-01,1778.87,0.01,3.04,-5.942206531577684,,-0.13,108.7
1998-06-01,1894.74,-0.04,3.27,-6.00124045506569,,-0.1,106.5
1998-07-01,1872.39,0.01,3.3,-5.933617901995169,,-0.07,105.6
1998-08-03,1499.25,0.16,4.87,-5.968426136698689,,0.07,105.2
1998-09-01,1693.84,0.12,5.76,-6.004932764158848,,0.13,104.4
1998-10-01,1771.39,0.52,6.36,-6.005522724800995,,0.17,100.9
1998-11-02,1949.86,0.2,5.44,-6.023486563561109,,0.17,102.7
1998-12-01,2192.48,0.11,5.66,-6.064615428743597,,0,100.5
1999-01-01,2505.89,0.08,5.53,-6.102159645751787,,0,100.5
1999-02-01,2288.03,0.16,5.21,-6.122076663024818,,-0.07,103.9
1999-03-01,2461.4,0.26,5.19,-6.107564006096265,,-0.03,105.7
1999-04-01,2542.85,0.27,4.98,-5.980407074389757,,-0.03,105.7
1999-05-03,2470.52,0.22,4.74,-6.071017178809936,,0,104.6
1999-06-01,2686.12,0.25,4.69,-5.840353383298621,,-0.07,106.8
1999-07-01,2638.52,0.26,4.82,-5.827208333127316,,0.03,107.3
1999-08-02,2739.35,0.22,4.88,-5.7834366064554095,,0.03,106
1999-09-01,2746.16,0.29,5.1,-5.892669779276562,,0.03,104.5
1999-10-01,2966.43,0.25,5.08,-5.921074051354393,,0,107.2
1999-11-01,3336.16,0.17,4.91,-5.881065551396457,,-0.03,107.2
1999-12-01,4069.31,0.21,4.76,-5.815841248410271,,-0.03,105.4
2000-01-03,3940.35,0.07,4.87,-5.819798204992501,,-0.03,112
2000-02-01,4696.69,-0.11,5.08,-5.909906489699665,,0,111.3
2000-03-01,4572.83,-0.47,5.75,-5.856690146243862,,0,107.1
2000-04-03,3860.66,-0.4,5.69,-5.843835686238982,,0,107.1
